	shannon	simpson	observed_species	PD_whole_tree
700106563	5.04834001273	0.94471743687	365.0	16.01812
700024149	4.76763020088	0.892293283336	399.0	20.37423
700107920	5.01855755181	0.897733576079	375.0	21.43361
700097650	7.65354654683	0.984772743659	1013.0	47.8154
700023313	8.62225297452	0.993134331194	2290.0	86.23652
700102895	4.11159317462	0.875767950653	223.0	14.15364
700107864	2.98211350622	0.752448962677	286.0	16.3402
700106637	2.90274684039	0.668311810994	231.0	11.88749
700114872	5.56620167915	0.866696764137	1217.0	54.9776
700097589	6.89857109934	0.9760064408	939.0	41.47163
700103653	6.28330774398	0.963427603357	842.0	36.52631
700114818	6.58031087675	0.968682394276	896.0	39.45261
700097437	6.34700674409	0.960588732254	472.0	23.02716
700097313	7.54245773671	0.984634206645	989.0	42.23482
700014956	7.46720753258	0.981325747064	1438.0	57.60174
700013596	7.42301699984	0.987150235991	989.0	46.48468
700097859	6.88779862607	0.975734394725	551.0	30.99708
700095235	6.25747046485	0.971984696021	522.0	26.7899
700101366	6.80441908624	0.971871938207	880.0	40.72601
700103710	7.4576778911	0.984305019786	1295.0	52.81795
700023267	7.31789120679	0.984885826305	917.0	40.93716
700038950	4.30189797784	0.886836569433	361.0	18.05188
700108866	6.63121388645	0.975123005302	473.0	23.39825
700103303	3.95340625555	0.851745650237	256.0	15.91574
700111775	6.83564492929	0.978942228435	512.0	22.81229
700101335	6.9220023569	0.983695631404	539.0	22.95037
700099539	6.55829564332	0.97115536921	482.0	24.36906
700016405	6.0849209773	0.965065240976	508.0	21.01558
700102995	7.05313937228	0.981580076739	430.0	19.19559
700032252	6.31830904307	0.95624059673	539.0	22.71093
700108266	5.74422782089	0.9471913549	483.0	20.79151
700114637	6.03150368723	0.964704263152	336.0	16.27087
700024097	4.01906122637	0.867525249724	442.0	21.4023
700095275	3.7589093046	0.87565840815	159.0	10.40573
700034228	2.52098832854	0.747410901034	66.0	8.35159
700035697	3.29001963476	0.852831794809	63.0	3.92497
700102569	1.5	0.625	3.0	1.58516
